Treatment,target,botton_score,max,min,range,mean,std,median,non_zero_per_row
UTC,0.75,0.043,16.3,13.1,3.2,15.075,1.3769,15.45,4
UTC,0.33,0.113,17.3,12.2,5.1,14.7333,2.5502,14.7,3
UTC,0.25,0.0406,15.6,12.7,2.9,14.2,1.3342,14.25,4
UTC,0.5,0.0986,16.4,9.0,7.4,13.5,3.3882,14.3,4
UTC,0.67,0.0447,15.7,11.9,3.8,13.3667,2.0429,12.5,3
UTC,0.33,0.1202,15.8,11.0,4.8,13.6333,2.4338,14.1,3
UTC,0.5,0.0147,17.3,9.5,7.8,15.05,3.7332,16.7,4
UTC,0.67,0.3105,15.1,7.5,7.6,10.7667,3.9107,9.7,3
UTC,0.33,0.0787,13.6,8.7,4.9,11.8,2.6963,13.1,3
UTC,0.33,0.0816,13.6,7.5,6.1,11.4333,3.4122,13.2,3
UTC,0.75,0.0628,16.8,13.3,3.5,14.875,1.4454,14.7,4
UTC,1.0,0.0001,9.0,9.0,0.0,9.0,,9.0,1
UTC,0.0,0.0071,15.7,13.5,2.2,14.64,1.0286,14.7,5
UTC,0.33,0.0438,16.8,13.6,3.2,15.3667,1.6258,15.7,3
UTC,0.4,0.1453,17.5,11.5,6.0,14.64,2.3017,14.7,5
UTC,0.6,0.1138,15.5,7.5,8.0,11.16,3.826,9.1,5
UTC,0.6,0.25,13.8,7.5,6.3,10.74,2.9813,12.0,5
UTC,0.0,0.006,18.0,16.7,1.3,17.3,0.6481,17.25,4
UTC,1.0,0.1548,10.0,7.3,2.7,8.64,1.0922,8.6,5
UTC,0.25,0.2778,16.5,8.5,8.0,13.0,3.4157,13.5,4
UTC,0.0,0.0099,18.0,16.0,2.0,17.2,1.0583,17.6,3
UTC,0.6,0.0833,19.3,14.8,4.5,16.64,1.8716,16.0,5
UTC,0.2,0.0037,18.8,16.5,2.3,17.94,0.9236,17.9,5
UTC,0.8,0.0791,16.1,10.0,6.1,12.56,3.0591,10.5,5
UTC,0.5,0.0126,15.4,14.0,1.4,14.65,0.6608,14.6,4
UTC,0.25,0.0546,17.0,13.9,3.1,15.225,1.4127,15.0,4
UTC,0.0,0.0578,20.0,15.0,5.0,17.88,1.9357,18.5,5
UTC,0.2,0.1407,18.0,12.1,5.9,15.02,2.2599,14.5,5
UTC,0.8,0.3299,14.3,7.1,7.2,10.38,3.1324,8.9,5
UTC,0.67,0.1447,14.4,7.6,6.8,10.1333,3.7166,8.4,3
UTC,0.4,0.1079,16.5,7.6,8.9,13.0,3.6339,13.4,5
UTC,0.33,0.2004,16.5,10.0,6.5,13.5,3.2787,14.0,3
UTC,0.25,0.2416,15.7,8.8,6.9,12.9,2.9223,13.55,4
UTC,0.25,0.0846,18.6,8.8,9.8,15.6,4.5811,17.5,4
UTC,0.67,0.0712,15.7,10.0,5.7,13.6,3.1321,15.1,3
UTC,0.6,0.1398,16.2,8.7,7.5,12.7,3.1567,12.3,5
UTC,0.6,0.1706,15.9,7.0,8.9,13.3,3.5833,14.4,5
UTC,0.33,0.0046,14.6,12.9,1.7,14.0,0.9539,14.5,3
UTC,0.4,0.0563,16.4,12.8,3.6,14.92,1.3809,15.5,5
UTC,0.75,0.1115,15.2,7.8,7.4,9.95,3.5114,8.4,4
UTC,0.25,0.121,16.5,11.5,5.0,14.225,2.1061,14.45,4
UTC,0.67,0.1943,16.1,9.1,7.0,13.2,3.651,14.4,3
UTC,0.6,0.048,17.0,13.3,3.7,15.14,1.5356,14.8,5
UTC,0.5,0.0237,15.3,13.5,1.8,14.275,0.8732,14.15,4
UTC,0.0,0.0118,18.1,15.2,2.9,16.2667,1.5948,15.5,3
UTC,0.5,0.1631,16.7,10.1,6.6,14.125,2.8359,14.85,4
UTC,0.0,0.1045,11.84,8.79,3.05,9.81,1.3815,9.305,4
UTC,0.4,0.2421,11.87,4.96,6.91,9.066,3.1951,10.89,5
UTC,0.33,0.2883,14.84,7.41,7.43,11.7333,3.8615,12.95,3
UTC,0.8,0.6012,17.45,6.24,11.21,10.43,4.2068,9.28,5
UTC,0.33,0.0919,17.85,13.0,4.85,15.5133,2.4298,15.69,3
UTC,0.6,0.8635,13.36,5.85,7.51,8.142,3.2718,6.24,5
UTC,0.67,0.2031,13.75,8.61,5.14,11.4667,2.6175,12.04,3
UTC,0.2,0.3197,19.7,10.47,9.23,14.458,3.4289,13.6,5
UTC,0.4,0.5782,17.92,5.11,12.81,12.676,4.684,13.77,5
UTC,0.4,0.2709,18.92,10.98,7.94,13.216,3.3287,11.79,5
UTC,0.0,0.0039,19.51,14.89,4.62,16.4533,2.6474,14.96,3
UTC,0.67,0.5102,17.32,5.99,11.33,11.1133,5.7422,10.03,3
UTC,0.4,0.2561,19.06,10.72,8.34,14.778,3.4879,16.08,5
UTC,0.5,0.5243,16.5,6.25,10.25,11.0325,4.9149,10.69,4
UTC,0.0,0.104,19.07,13.7,5.37,16.385,2.2235,16.385,4
UTC,0.33,0.1678,19.04,11.04,8.0,15.63,4.1285,16.81,3
UTC,0.25,0.0529,19.97,15.47,4.5,17.0975,1.9813,16.475,4
UTC,0.33,0.1524,20.23,12.28,7.95,16.7,4.049,17.59,3
UTC,0.67,0.231,17.17,8.94,8.23,12.3933,4.2716,11.07,3
UTC,0.25,0.4779,17.84,7.09,10.75,12.765,4.4737,13.065,4
UTC,0.2,0.4286,17.37,6.56,10.81,12.794,3.9957,12.72,5
UTC,0.4,0.5438,17.21,6.29,10.92,12.154,3.936,12.77,5
UTC,0.4,0.1235,16.4,5.85,10.55,12.17,4.7386,14.19,5
UTC,0.0,0.0752,16.92,12.33,4.59,14.9933,2.382,15.73,3
UTC,0.4,0.3864,14.49,5.62,8.87,11.308,3.3717,12.09,5
UTC,0.5,0.1799,15.07,10.1,4.97,12.16,2.1053,11.735,4
UTC,0.5,0.1283,17.2,11.86,5.34,14.0125,2.2666,13.495,4
UTC,0.5,0.1863,14.54,8.71,5.83,12.03,2.5454,12.435,4
UTC,0.5,0.0102,15.85,12.46,3.39,13.3725,1.6528,12.59,4
UTC,0.25,0.1738,17.61,9.65,7.96,14.68,3.4838,15.73,4
UTC,0.5,0.4481,11.78,5.2,6.58,8.3975,3.2864,8.305,4
UTC,0.0,0.1058,18.8,12.98,5.82,15.62,2.9473,15.08,3
UTC,0.5,0.063,13.28,10.9,2.38,11.7225,1.097,11.355,4
UTC,0.25,0.082,16.23,12.21,4.02,13.8225,1.7055,13.425,4
UTC,0.5,0.3276,16.61,8.45,8.16,12.9725,3.3813,13.415,4
UTC,0.67,0.3629,14.49,7.46,7.03,11.0733,3.5191,11.27,3
UTC,0.67,0.1809,13.25,5.6,7.65,10.4767,4.2366,12.58,3
UTC,0.0,0.1353,14.33,10.29,4.04,12.04,1.6843,11.77,4
UTC,0.0,0.0522,12.78,10.17,2.61,11.374,1.1573,10.92,5
UTC,0.6,0.5007,17.97,8.0,9.97,12.274,4.1424,12.52,5
UTC,0.4,0.408,16.86,7.17,9.69,12.008,4.21,13.13,5
UTC,0.4,0.5135,18.01,6.79,11.22,12.502,4.5275,14.01,5
UTC,0.2,0.1851,17.44,12.0,5.44,13.918,2.2015,12.95,5
UTC,0.25,0.0607,17.7,12.89,4.81,14.5325,2.152,13.77,4
UTC,0.6,0.1911,13.89,7.78,6.11,10.496,2.8301,8.91,5
UTC,0.4,0.0807,18.25,13.89,4.36,15.686,1.6258,15.73,5
UTC,0.5,0.1333,19.0,13.16,5.84,15.79,2.5993,15.5,4
UTC,0.6,0.0248,23.45,19.94,3.51,21.616,1.4883,22.15,5
UTC,1.0,0.3043,9.62,5.92,3.7,8.074,1.3573,8.15,5
UTC,1.0,0.1136,9.2,7.11,2.09,8.0033,0.8622,7.84,6
UTC,0.5,0.1889,12.22,8.62,3.6,10.2,1.5234,9.98,4
UTC,0.25,0.1439,10.78,8.18,2.6,9.2775,1.1115,9.075,4
UTC,1.0,0.0396,10.0,8.64,1.36,9.1075,0.613,8.895,4
UTC,0.33,0.0906,10.29,7.46,2.83,8.9767,1.1652,9.17,6
UTC,0.8,0.5233,9.31,5.25,4.06,7.232,1.6352,7.72,5
UTC,0.5,0.2186,9.51,6.84,2.67,7.995,0.877,7.88,6
UTC,0.5,0.9984,8.08,3.66,4.42,5.6733,1.4752,5.43,6
UTC,0.5,0.3629,7.48,5.16,2.32,5.8417,0.8507,5.615,6
UTC,1.0,1.1344,9.49,2.82,6.67,6.464,2.5289,7.12,5
UTC,1.0,0.3738,9.32,6.06,3.26,7.48,1.1752,7.525,6
UTC,0.5,0.1546,7.34,5.46,1.88,6.0875,0.8503,5.775,4
UTC,0.5,0.1334,9.26,7.24,2.02,8.0267,0.6888,7.99,6
UTC,0.6,0.3746,9.88,6.32,3.56,7.892,1.3604,7.91,5
UTC,0.6,0.2011,8.78,5.65,3.13,7.442,1.2509,7.64,5
UTC,0.67,0.244,8.24,5.91,2.33,7.0367,0.837,7.01,6
UTC,0.25,0.0573,10.27,7.75,2.52,8.4975,1.1872,7.985,4
UTC,0.5,0.2429,8.63,6.02,2.61,7.1625,1.082,7.0,4
UTC,0.6,0.1286,9.06,6.85,2.21,8.082,0.8268,8.07,5
UTC,0.6,0.2135,10.19,7.31,2.88,8.55,1.2425,8.51,5
UTC,0.4,0.1166,10.06,7.94,2.12,8.956,0.8123,9.16,5
UTC,0.5,0.1273,10.91,8.36,2.55,9.585,0.8984,9.605,6
UTC,0.6,0.2183,9.26,6.52,2.74,7.612,1.0037,7.41,5
UTC,1.0,0.0723,9.6,8.15,1.45,8.742,0.5827,8.45,5
UTC,0.2,0.1992,10.29,7.21,3.08,8.866,1.1191,8.82,5
UTC,0.4,0.2625,10.68,7.3,3.38,8.654,1.2567,8.25,5
UTC,0.8,0.1784,9.15,6.71,2.44,7.962,0.9356,8.01,5
UTC,0.5,0.1543,8.84,6.74,2.1,7.7825,0.8575,7.775,4
UTC,0.8,0.0053,8.99,7.34,1.65,8.354,0.8174,8.88,5
UTC,0.75,0.0674,10.39,8.58,1.81,9.4675,0.8115,9.45,4
UTC,0.6,0.104,10.74,4.27,6.47,8.58,2.7622,9.97,5
UTC,0.6,0.0601,9.88,8.14,1.74,8.64,0.7066,8.41,5
UTC,0.8,0.0996,9.38,7.29,2.09,8.16,0.9767,7.61,5
UTC,0.8,0.6647,9.53,3.96,5.57,7.406,2.0659,7.93,5
UTC,0.8,0.9884,10.52,3.74,6.78,7.158,2.5049,7.36,5
UTC,0.6,0.2093,9.54,6.38,3.16,7.85,1.4238,7.77,5
UTC,0.6,0.1552,9.94,7.64,2.3,8.64,0.9068,8.77,5
UTC,0.4,0.8177,9.34,3.65,5.69,6.996,2.0662,7.35,5
UTC,0.75,0.0811,10.88,8.83,2.05,9.7975,0.9197,9.74,4
UTC,0.4,0.1874,11.07,7.91,3.16,9.212,1.1553,9.02,5
UTC,0.8,0.0723,10.37,8.81,1.56,9.294,0.6503,9.02,5
UTC,0.4,0.7744,9.9,3.68,6.22,7.396,2.2865,7.81,5
UTC,0.83,0.5743,8.88,3.38,5.5,6.7867,2.0114,7.46,6
UTC,0.83,1.2657,7.32,2.33,4.99,5.1017,1.6497,5.455,6
UTC,1.0,0.5265,10.2,5.45,4.75,7.858,1.734,8.17,5
UTC,0.6,0.2696,9.06,6.43,2.63,7.558,0.9821,7.29,5
UTC,0.6,0.3187,7.79,5.1,2.69,6.614,0.996,6.77,5
UTC,0.6,0.0502,8.27,7.05,1.22,7.782,0.4495,7.86,5
UTC,0.8,0.1583,10.56,6.75,3.81,9.164,1.4586,9.29,5
UTC,0.4,0.363,7.82,5.26,2.56,6.472,0.9713,6.7,5
UTC,0.6,0.692,10.12,5.19,4.93,7.298,2.0499,7.74,5
UTC,0.6,0.5414,9.89,4.29,5.6,7.866,2.1088,8.38,5
UTC,0.8,0.2879,8.75,5.99,2.76,7.366,1.0442,7.55,5
UTC,0.67,0.1286,10.15,7.39,2.76,8.965,0.9691,9.125,6
UTC,0.67,0.3231,10.1,6.59,3.51,8.0783,1.1588,7.895,6
UTC,0.2,0.0202,9.21,7.46,1.75,8.5,0.892,9.11,5
UTC,0.8,0.4165,10.64,5.88,4.76,8.514,1.7219,8.49,5
UTC,0.8,0.2958,9.22,6.18,3.04,7.358,1.1295,7.14,5
UTC,0.8,0.7339,9.53,3.41,6.12,6.152,2.7395,4.69,5
UTC,1.0,0.2473,10.32,6.53,3.79,8.6283,1.2735,8.57,6
UTC,1.0,1.3596,8.41,2.68,5.73,4.954,2.107,4.43,5
UTC,1.0,0.181,8.05,5.0,3.05,6.935,1.3651,7.345,4
UTC,0.67,0.1821,10.16,5.26,4.9,7.0533,2.7011,5.74,3
UTC,0.8,0.4556,7.89,4.34,3.55,5.974,1.579,5.63,5
UTC,0.8,0.3344,12.13,6.37,5.76,8.19,2.2634,7.62,5
UTC,0.67,0.0269,7.33,5.46,1.87,6.3733,0.7931,6.155,6
UTC,1.0,0.5674,10.82,5.27,5.55,7.078,2.1704,6.38,5
UTC,1.0,0.5437,9.94,5.353,4.587,7.5555,1.6335,7.705,6
UTC,1.0,0.3404,9.19,2.82,6.37,6.414,2.6762,6.29,5
UTC,0.8,0.5873,9.53,4.29,5.24,6.388,2.5332,4.91,5
UTC,0.83,0.1969,11.22,7.62,3.6,8.805,1.2479,8.535,6
UTC,0.8,0.6824,12.1,5.87,6.23,8.328,2.4224,7.5,5
UTC,0.83,0.8742,7.62,3.37,4.25,4.6017,1.5343,4.195,6
UTC,1.0,0.3727,7.4,4.94,2.46,6.114,0.988,6.16,5
UTC,0.75,0.2702,12.13,7.92,4.21,9.7475,1.9508,9.47,4
UTC,0.5,0.3555,10.37,5.39,4.98,8.49,1.6511,8.785,6
UTC,1.0,0.0221,10.1,9.11,0.99,9.635,0.413,9.665,4
UTC,0.8,0.2083,11.1,7.12,3.98,9.34,1.5172,9.32,5
UTC,0.67,0.0307,15.1,11.94,3.16,13.1367,1.7138,12.37,3
UTC,1.0,0.3258,10.68,4.64,6.04,8.632,2.3518,9.15,5
UTC,0.8,0.0609,13.27,10.87,2.4,11.828,0.8813,11.61,5
UTC,1.0,0.2261,11.24,6.22,5.02,9.1883,1.8414,9.475,6
UTC,0.75,0.1944,12.04,6.29,5.75,9.645,2.6368,10.125,4
UTC,0.8,0.3863,11.84,7.16,4.68,9.182,1.7805,8.56,5
UTC,0.83,0.5192,13.01,6.06,6.95,9.515,2.612,10.065,6
UTC,1.0,0.0067,11.05,10.06,0.99,10.605,0.4782,10.655,4
UTC,0.83,0.4996,11.53,4.38,7.15,8.8333,2.561,9.83,6
UTC,0.8,0.4465,13.25,6.47,6.78,9.824,2.6371,9.17,5
UTC,0.6,0.2433,12.03,6.9,5.13,10.074,1.9269,10.31,5
UTC,0.6,0.1427,12.77,6.61,6.16,10.738,2.433,11.14,5
UTC,0.8,0.1257,12.37,9.3,3.07,10.28,1.2272,10.02,5
UTC,0.8,0.1588,10.0,4.89,5.11,8.256,2.0493,8.77,5
UTC,1.0,0.2999,10.89,6.2,4.69,8.984,1.7488,9.09,5
UTC,1.0,0.1572,9.43,7.15,2.28,8.105,0.965,7.92,4
UTC,1.0,0.0049,12.34,11.21,1.13,11.62,0.6255,11.31,3
UTC,1.0,0.1747,8.43,6.19,2.24,7.2575,1.0779,7.205,4
UTC,0.75,0.0337,8.24,7.22,1.02,7.6875,0.534,7.645,4
UTC,0.6,0.4847,14.74,7.42,7.32,10.612,2.7704,10.07,5
UTC,0.6,0.0473,9.35,4.28,5.07,7.61,2.1131,8.26,5
UTC,1.0,1.1671,9.55,2.53,7.02,6.424,2.6353,6.81,5
UTC,0.8,0.484,12.19,5.31,6.88,7.158,2.8579,6.19,5
UTC,1.0,0.5557,9.43,4.94,4.49,7.364,1.6076,7.34,5
UTC,1.0,0.7643,9.03,4.41,4.62,6.432,1.8944,5.69,5
UTC,1.0,0.5029,8.76,3.14,5.62,6.426,2.3569,7.16,5
UTC,0.75,0.0584,8.91,7.66,1.25,8.2375,0.5438,8.19,4
UTC,0.8,0.1386,7.49,4.12,3.37,6.07,1.5042,6.52,5
UTC,0.4,0.6259,10.44,5.21,5.23,7.624,1.8847,7.52,5
UTC,0.75,0.2765,9.47,6.34,3.13,7.8175,1.435,7.73,4
UTC,0.8,0.4672,9.5,4.86,4.64,7.598,1.7185,7.75,5
UTC,0.75,0.4598,13.08,6.72,6.36,9.5775,2.985,9.255,4
UTC,0.75,0.1235,11.32,8.71,2.61,9.8875,1.0948,9.76,4
UTC,1.0,0.3594,10.28,5.57,4.71,8.245,2.0432,8.565,4
UTC,1.0,0.1225,11.37,8.86,2.51,9.79,1.1554,9.465,4
UTC,0.8,0.0597,13.08,9.38,3.7,11.232,1.6447,10.9,5
UTC,0.8,0.0019,8.53,7.66,0.87,8.1,0.4109,8.03,5
UTC,1.0,0.147,9.25,5.71,3.54,7.792,1.4072,7.58,5
UTC,1.0,0.289,10.95,5.85,5.1,8.75,1.9948,8.78,5
UTC,0.8,0.2288,12.47,8.11,4.36,10.326,1.6493,10.18,5
UTC,0.67,0.5886,9.62,5.17,4.45,7.2467,1.6014,7.355,6
UTC,0.8,0.2047,12.08,7.22,4.86,10.418,1.8581,10.88,5
UTC,0.8,0.2319,12.94,8.73,4.21,10.61,1.7346,10.98,5
UTC,0.8,0.4061,13.32,4.49,8.83,10.048,3.4683,11.19,5
UTC,0.4,0.3717,11.58,7.14,4.44,9.022,1.7603,9.24,5
UTC,0.75,0.2862,12.88,6.65,6.23,10.22,2.7414,10.675,4
UTC,0.75,0.1295,13.43,9.42,4.01,10.71,1.8514,9.995,4
UTC,0.5,0.387,12.33,6.99,5.34,9.5625,2.2032,9.465,4
UTC,0.83,0.3314,11.61,6.55,5.06,9.325,1.7463,9.61,6
UTC,1.0,0.1754,10.02,7.72,2.3,8.5933,0.8704,8.5,6
UTC,1.0,0.1511,10.11,7.74,2.37,8.75,1.0978,8.575,4
UTC,1.0,0.4328,8.8,5.26,3.54,7.014,1.2529,6.98,5
UTC,0.4,0.5935,12.1,5.19,6.91,9.052,2.5365,9.75,5
UTC,0.67,0.3693,8.73,4.77,3.96,7.1233,1.3722,7.365,6
UTC,0.8,1.2463,8.71,3.56,5.15,5.26,2.0711,4.47,5
UTC,0.75,0.4258,12.65,6.65,6.0,9.575,2.451,9.5,4
UTC,0.8,0.2748,13.95,8.7,5.25,10.998,1.9507,11.09,5
UTC,0.67,0.7955,11.28,4.5,6.78,7.7983,2.5788,8.365,6
UTC,0.8,0.3072,9.83,4.49,5.34,8.122,2.1012,8.67,5
UTC,0.75,1.0305,11.34,3.31,8.03,7.595,3.3323,7.865,4
UTC,1.0,0.3517,8.9,6.14,2.76,7.136,1.1307,6.95,5
UTC,1.0,0.3454,11.34,6.96,4.38,8.9975,1.8382,8.845,4
UTC,1.0,0.5501,10.12,3.96,6.16,7.5233,2.6688,8.81,6
UTC,0.6,0.2494,11.31,6.29,5.02,9.18,2.0739,9.91,5
UTC,1.0,0.4851,12.28,6.29,5.99,9.244,2.2432,8.91,5
UTC,0.8,0.237,8.83,6.46,2.37,7.49,0.9195,7.48,5
UTC,0.5,0.011,11.5,10.19,1.31,10.8525,0.6829,10.86,4
UTC,0.6,0.0299,10.38,6.6,3.78,9.306,1.5933,10.13,5
UTC,1.0,0.2282,12.18,6.81,5.37,9.69,2.5154,9.885,4
UTC,0.75,0.211,11.46,8.08,3.38,9.5325,1.4884,9.295,4
UTC,0.5,0.2953,12.33,8.09,4.24,9.535,1.5006,9.095,6
UTC,0.6,0.026,11.76,7.73,4.03,10.676,1.6779,11.3,5
UTC,0.75,0.3109,12.34,6.26,6.08,9.8525,2.6438,10.405,4
UTC,0.6,0.0193,11.01,9.66,1.35,10.286,0.6029,9.97,5
UTC,0.83,0.3323,10.75,3.6,7.15,8.4817,2.5965,9.325,6
UTC,0.8,0.2308,9.69,6.79,2.9,8.2244,1.0362,8.22,5
UTC,0.75,0.1819,12.14,8.14,4.0,9.61,1.7482,9.08,4
UTC,0.8,0.249,9.77,5.36,4.41,8.134,1.7143,8.52,5
UTC,0.5,0.147,11.1,8.26,2.84,9.685,1.1773,9.69,4
UTC,0.6,0.221,12.53,5.87,6.66,9.426,2.8096,8.98,5
UTC,1.0,0.0805,8.29,7.01,1.28,7.5533,0.487,7.48,6
UTC,0.8,0.3857,11.99,5.37,6.62,9.212,2.6707,10.1,5
UTC,0.83,0.0267,11.0,8.12,2.88,9.56,1.326,9.53,6
UTC,0.5,0.0473,9.98,8.11,1.87,9.145,0.7319,9.29,6
UTC,0.5,0.107,9.98,7.36,2.62,8.28,1.1605,7.89,4
UTC,0.6,0.2286,10.63,7.54,3.09,8.732,1.167,8.38,5
UTC,1.0,0.5279,7.55,4.44,3.11,5.735,1.308,5.475,4
UTC,0.75,0.21,8.88,3.96,4.92,7.3025,2.273,8.185,4
UTC,1.0,1.2737,7.79,3.23,4.56,5.224,1.7364,4.65,5
UTC,0.33,0.0059,10.45,9.74,0.71,10.17,0.378,10.32,3
UTC,0.25,0.1108,9.31,7.5,1.81,8.2825,0.7795,8.16,4
UTC,0.67,0.1422,10.91,8.42,2.49,9.4717,0.9277,9.395,6
UTC,1.0,0.501,10.21,5.05,5.16,8.128,1.8862,8.53,5
UTC,1.0,0.0674,7.49,6.53,0.96,6.92,0.3964,6.87,5
UTC,0.8,0.1912,5.2,4.0,1.2,4.544,0.5386,4.44,5
UTC,0.6,0.2936,7.86,3.87,3.99,6.018,1.8314,6.48,5
UTC,1.0,0.4646,5.03,2.57,2.46,3.608,1.2213,2.83,5
UTC,0.8,0.0293,5.88,4.41,1.47,5.428,0.6365,5.82,5
UTC,1.0,0.1824,8.85,3.22,5.63,7.006,2.2596,7.19,5
UTC,0.83,0.0943,10.11,7.94,2.17,9.0067,0.7896,8.885,6
UTC,0.6,0.1241,10.46,8.06,2.4,9.288,0.8681,9.27,5
UTC,1.0,0.0224,8.2,7.14,1.06,7.794,0.4576,8.06,5
UTC,0.83,0.5447,6.55,2.89,3.66,5.0217,1.309,5.045,6
UTC,1.0,0.0301,10.0,8.91,1.09,9.446,0.4164,9.48,5
UTC,0.2,0.0999,9.82,7.55,2.27,8.912,0.8633,9.24,5
UTC,0.6,0.1636,9.06,6.64,2.42,7.976,0.8944,7.9,5
UTC,1.0,0.2986,8.55,5.95,2.6,6.8925,1.1906,6.535,4
UTC,0.6,0.1889,10.61,7.7,2.91,8.922,1.2357,8.36,5
UTC,1.0,0.1127,10.48,5.44,5.04,9.015,2.3935,10.07,4
UTC,0.4,0.0403,6.56,5.93,0.63,6.186,0.2348,6.11,5
UTC,0.33,0.0079,8.83,6.21,2.62,7.985,0.9686,8.125,6
UTC,0.67,0.0865,8.96,6.24,2.72,7.7733,1.124,8.045,6
UTC,0.0,0.0505,9.19,7.9,1.29,8.5875,0.5329,8.63,4
UTC,0.6,0.3531,10.5,4.26,6.24,7.914,2.9551,9.78,5
UTC,0.0,0.0361,11.79,10.15,1.64,10.79,0.7028,10.61,4
UTC,0.4,0.1092,8.14,6.7,1.44,7.296,0.6205,7.19,5
UTC,1.0,1.0811,7.47,2.82,4.65,5.48,1.6935,5.57,5
UTC,0.8,1.0586,10.49,2.82,7.67,6.676,3.3235,7.62,5
UTC,1.0,0.269,5.24,4.06,1.18,4.565,0.518,4.48,4
UTC,0.4,0.0077,8.91,7.96,0.95,8.616,0.3839,8.75,5
UTC,0.6,0.0801,9.45,7.52,1.93,8.598,0.7825,8.88,5
UTC,0.67,0.0186,11.2,7.72,3.48,9.705,1.3084,9.455,6
UTC,0.67,0.1177,7.17,5.94,1.23,6.47,0.4509,6.37,6
UTC,1.0,0.0571,6.28,5.38,0.9,5.6825,0.406,5.535,4
UTC,0.8,0.1891,9.04,6.62,2.42,7.762,0.961,7.43,5
UTC,1.0,0.0175,8.85,6.63,2.22,7.775,0.8859,7.56,6
UTC,1.0,0.0421,8.9,7.85,1.05,8.3,0.4491,8.225,4
UTC,0.4,0.0112,9.06,5.99,3.07,7.49,1.4608,6.91,5
UTC,1.0,0.4676,5.37,3.6,1.77,4.335,0.7444,4.185,4
UTC,0.75,0.4815,4.59,3.14,1.45,3.865,0.6487,3.865,4
UTC,0.8,1.1545,5.14,2.14,3.0,3.952,1.1196,4.11,5
UTC,0.67,0.0328,8.68,6.82,1.86,7.9767,0.6921,8.055,6
UTC,1.0,1.6545,5.66,1.8,3.86,3.935,1.2667,4.1,6
UTC,0.8,0.0705,5.3,4.46,0.84,4.816,0.3999,4.57,5
UTC,1.0,0.3768,4.55,3.18,1.37,3.98,0.5825,4.095,4
UTC,0.4,0.0015,8.48,8.25,0.23,8.372,0.1085,8.43,5
UTC,1.0,0.1003,10.12,8.12,2.0,9.09,0.818,9.39,5
UTC,0.75,0.235,6.5,4.76,1.74,5.455,0.7389,5.28,4
UTC,0.6,0.0225,9.98,8.15,1.83,9.222,0.7666,9.33,5
